,exp_group,user_id,likes,views,ctr
0,3,115383,38,248,0.1532258064516129
1,3,10326,24,132,0.1818181818181818
2,3,123580,25,122,0.2049180327868852
3,2,131473,19,98,0.1938775510204081
4,2,23985,12,44,0.2727272727272727
5,2,24523,2,10,0.2
6,2,24239,10,41,0.2439024390243902
7,3,19647,4,31,0.1290322580645161
8,2,127588,14,87,0.160919540229885
9,2,6911,17,117,0.1452991452991453
10,2,119153,7,41,0.1707317073170731
11,2,15092,25,139,0.1798561151079136
12,3,107670,17,94,0.1808510638297872
13,3,126702,10,66,0.1515151515151515
14,3,9682,12,67,0.1791044776119403
15,3,118359,18,100,0.18
16,3,117805,23,60,0.3833333333333333
17,3,126448,14,93,0.1505376344086021
18,3,16699,36,210,0.1714285714285714
19,2,122713,17,67,0.2537313432835821
20,2,130614,6,48,0.125
21,3,16777,4,50,0.08
22,2,122429,12,73,0.1643835616438356
23,3,16933,23,85,0.2705882352941176
24,2,6011,4,31,0.1290322580645161
25,3,17217,17,89,0.1910112359550561
26,2,118761,11,34,0.3235294117647059
27,2,10098,8,30,0.2666666666666666
28,3,21315,21,100,0.21
29,3,112912,14,83,0.1686746987951807
30,2,118049,19,69,0.2753623188405797
31,3,112756,29,161,0.1801242236024844
32,3,130952,10,68,0.1470588235294117
33,3,122599,9,27,0.3333333333333333
34,3,122361,10,73,0.136986301369863
35,2,108922,20,102,0.196078431372549
36,3,14030,21,119,0.1764705882352941
37,2,108574,19,97,0.1958762886597938
38,2,108716,26,162,0.1604938271604938
39,2,2531,20,65,0.3076923076923077
40,3,23567,23,128,0.1796875
41,2,2385,0,2,0.0
42,2,115423,6,39,0.1538461538461538
43,2,10302,16,54,0.2962962962962963
44,3,131229,4,31,0.1290322580645161
45,3,131815,7,40,0.175
46,3,111764,31,92,0.3369565217391304
47,2,122908,29,142,0.204225352112676
48,3,127848,20,112,0.1785714285714285
49,3,118909,12,79,0.1518987341772152
50,2,20347,7,62,0.1129032258064516
51,3,15178,13,81,0.1604938271604938
52,3,127172,1,16,0.0625
53,2,20425,6,31,0.1935483870967742
54,3,111949,7,23,0.3043478260869565
55,3,131980,6,35,0.1714285714285714
56,3,112127,43,113,0.3805309734513274
57,3,131816,8,57,0.1403508771929824
58,2,2852,14,62,0.2258064516129032
59,3,24264,3,29,0.1034482758620689
60,2,10289,20,40,0.5
61,2,115408,14,41,0.3414634146341463
62,3,131104,10,75,0.1333333333333333
63,3,112439,5,42,0.119047619047619
64,3,24022,1,12,0.0833333333333333
65,2,20340,15,77,0.1948051948051948
66,3,118976,15,86,0.1744186046511628
67,3,118898,12,55,0.2181818181818181
68,3,14569,16,87,0.1839080459770115
69,2,19900,11,63,0.1746031746031746
70,2,118008,4,21,0.1904761904761904
71,2,1696,1,25,0.04
72,2,10191,8,36,0.2222222222222222
73,3,113069,3,16,0.1875
74,3,21324,5,45,0.1111111111111111
75,2,118172,10,54,0.1851851851851851
76,2,9479,32,245,0.1306122448979592
77,3,113331,29,163,0.1779141104294478
78,2,126957,6,28,0.2142857142857142
79,2,16962,17,70,0.2428571428571428
80,2,17136,20,100,0.2
81,2,25503,20,57,0.3508771929824561
