,exp_group,user_id,likes,views,ctr
0,1,109963,3,15,0.2
1,1,26117,32,141,0.226950354609929
2,1,138232,18,73,0.2465753424657534
3,1,26295,39,141,0.2765957446808511
4,1,18392,7,32,0.21875
5,2,131473,9,108,0.0833333333333333
6,2,23985,7,87,0.0804597701149425
7,2,24523,11,101,0.1089108910891089
8,2,32420,13,44,0.2954545454545454
9,2,24239,40,90,0.4444444444444444
10,1,137520,5,38,0.131578947368421
11,2,14680,29,91,0.3186813186813186
12,1,498,8,28,0.2857142857142857
13,1,125715,7,24,0.2916666666666667
14,2,6911,2,38,0.0526315789473684
15,2,119153,2,24,0.0833333333333333
16,2,15092,3,31,0.0967741935483871
17,1,27443,22,109,0.2018348623853211
18,1,137130,27,71,0.380281690140845
19,1,27223,37,158,0.2341772151898734
20,2,134311,9,168,0.0535714285714285
21,2,21245,7,76,0.0921052631578947
22,1,26783,5,13,0.3846153846153846
23,1,27131,12,89,0.1348314606741573
24,1,124219,30,119,0.2521008403361344
25,1,115796,6,57,0.1052631578947368
26,2,130614,12,36,0.3333333333333333
27,2,122713,19,107,0.1775700934579439
28,2,13752,10,38,0.2631578947368421
29,2,122429,8,67,0.1194029850746268
30,1,123999,22,92,0.2391304347826087
31,1,116554,14,64,0.21875
32,2,6011,23,63,0.365079365079365
33,2,118335,12,99,0.1212121212121212
34,2,1283,10,19,0.5263157894736842
35,1,128093,26,106,0.2452830188679245
36,1,120114,21,95,0.2210526315789473
37,1,128313,5,16,0.3125
38,1,8152,5,26,0.1923076923076923
39,2,118761,9,31,0.2903225806451613
40,2,118619,8,65,0.123076923076923
41,1,15877,12,53,0.2264150943396226
42,1,120036,10,72,0.1388888888888889
43,1,128395,29,139,0.2086330935251798
44,2,10098,3,9,0.3333333333333333
45,2,33675,2,24,0.0833333333333333
46,1,120478,3,9,0.3333333333333333
47,2,118049,31,65,0.4769230769230769
48,1,15643,4,24,0.1666666666666666
49,1,15785,16,72,0.2222222222222222
50,2,32807,4,18,0.2222222222222222
51,1,110953,17,66,0.2575757575757575
52,1,23276,10,59,0.1694915254237288
53,1,31537,22,70,0.3142857142857143
54,1,111223,13,55,0.2363636363636363
55,2,108922,4,57,0.0701754385964912
56,1,132278,39,181,0.2154696132596685
57,1,111301,16,82,0.1951219512195122
58,2,108716,4,43,0.0930232558139534
59,1,111379,0,14,0.0
60,1,120836,1,27,0.037037037037037
61,2,2531,5,15,0.3333333333333333
62,1,4700,37,134,0.2761194029850746
63,1,129039,45,131,0.3435114503816794
64,2,2385,12,118,0.1016949152542373
65,1,129653,29,176,0.1647727272727272
66,2,122908,53,162,0.3271604938271605
67,2,135571,26,69,0.3768115942028985
68,2,135237,92,196,0.4693877551020408
69,2,135415,9,97,0.0927835051546391
70,1,133504,19,106,0.1792452830188679
71,2,135743,25,61,0.4098360655737705
72,1,29821,11,47,0.2340425531914893
73,1,29903,11,59,0.1864406779661017
74,2,28528,6,64,0.09375
75,2,20347,3,49,0.0612244897959183
76,1,114213,12,19,0.631578947368421
77,1,129822,24,110,0.2181818181818181
78,1,12788,5,30,0.1666666666666666
79,2,2852,13,33,0.3939393939393939
80,2,10289,2,42,0.0476190476190476
81,2,115408,7,64,0.109375
82,1,4997,1,12,0.0833333333333333
83,2,28329,8,27,0.2962962962962963
84,1,29974,19,53,0.3584905660377358
85,1,114328,12,76,0.1578947368421052
86,1,30116,1,14,0.0714285714285714
87,2,135810,34,100,0.34
88,1,114684,21,74,0.2837837837837837
89,1,133959,12,34,0.3529411764705882
90,2,28087,8,75,0.1066666666666666
91,1,30216,11,74,0.1486486486486486
92,2,135470,40,93,0.4301075268817204
93,2,19900,13,32,0.40625
94,1,22019,14,80,0.175
95,1,133667,18,87,0.2068965517241379
96,1,15782,29,81,0.3580246913580246
97,2,32808,7,18,0.3888888888888889
98,1,15636,20,88,0.2272727272727272
99,2,10191,12,32,0.375
100,2,33100,12,33,0.3636363636363636
101,1,15882,7,31,0.2258064516129032
102,1,128388,30,170,0.1764705882352941
103,2,9653,10,106,0.0943396226415094
104,2,9479,63,167,0.3772455089820359
105,1,16056,2,24,0.0833333333333333
106,1,16348,18,60,0.3
107,2,126815,1,18,0.0555555555555555
108,1,111388,5,32,0.15625
109,2,16962,25,94,0.2659574468085106
110,1,132573,12,56,0.2142857142857142
111,1,30752,31,149,0.2080536912751678
112,2,25503,4,35,0.1142857142857142
113,1,111306,6,19,0.3157894736842105
114,2,25339,6,13,0.4615384615384615
115,2,25161,38,116,0.3275862068965517
116,1,132107,3,28,0.1071428571428571
117,2,17190,4,24,0.1666666666666666
118,1,22681,8,52,0.1538461538461538
119,2,139188,9,21,0.4285714285714285
120,1,110768,25,111,0.2252252252252252
121,2,109273,26,68,0.3823529411764705
122,2,16440,3,24,0.125
123,1,110950,13,69,0.1884057971014492
124,1,111060,12,53,0.2264150943396226
125,2,138264,7,41,0.1707317073170731
126,2,135094,8,71,0.1126760563380281
127,2,29013,26,164,0.1585365853658536
128,1,124924,9,36,0.25
129,1,11378,3,37,0.081081081081081
130,2,14207,1,13,0.0769230769230769
131,1,116549,8,64,0.125
132,1,124458,12,54,0.2222222222222222
133,2,130343,2,23,0.0869565217391304
134,2,131055,53,199,0.2663316582914573
135,2,32719,4,54,0.074074074074074
136,1,137449,29,188,0.1542553191489361
137,1,25876,27,143,0.1888111888111888
138,1,110120,13,69,0.1884057971014492
139,1,137307,15,78,0.1923076923076923
140,2,24438,41,171,0.239766081871345
141,2,131372,6,50,0.12
